Target,Feature,Coefficient,t_stat,p_value,VIP,Significant (p<0.05),R_squared
C1,代码×项目_Human×中型,0.0014768100697113,2.7392827713371584,0.0063777068768515,1.0330717192961956,True,0.0606954845429628
C1,代码×项目_Human×中小型,-6.296575284636587e-05,-0.2978565602474649,0.7659366148970428,0.2188230644504527,False,0.0606954845429628
C1,代码×项目_Human×大型,0.0012069003366473,3.980835148973144,7.887632799152833e-05,1.3678578711324971,True,0.0606954845429628
C1,代码×项目_Human×小型,-0.0009194968364534,-2.3325805956772,0.020066862853437,1.3098330767995154,True,0.0606954845429628
C1,代码×语言_AI×java,0.0005545189235468,2.4960010735318825,0.0128819008678666,0.2560469843382968,True,0.0606954845429628
C1,代码×语言_AI×js,-0.0010973989682648,-2.735470848386325,0.0064509207003589,0.6990041550442102,True,0.0606954845429628
C1,代码×语言_AI×py,0.0009480629963387,7.672563271696348,8.92619311798626e-14,1.4801965456993584,True,0.0606954845429628
C1,代码×语言_AI×ts,-0.0012573437637201,-11.356405663739514,0.0,1.8245853889259749,True,0.0606954845429628
C1,代码×语言_Human×java,-0.0009204801111697,-4.762766707165302,2.5067209308282656e-06,0.5428705487372771,True,0.0606954845429628
C1,代码×语言_Human×js,0.0024204990187959,3.099501661003137,0.0020479127428105,1.991336529362888,True,0.0606954845429628
C1,代码×语言_Human×py,6.726879350671352e-05,0.2881101674680948,0.7733820367679378,0.6570519167633309,False,0.0606954845429628
C1,代码×语言_Human×ts,-0.0012304437177645,-6.457561042621423,2.527644760164094e-10,1.969214846944944,True,0.0606954845429628
C1,项目×语言_中型×java,-0.0009359836257842,-2.597358989875561,0.0096717644793864,0.3089197036423332,True,0.0606954845429628
C1,项目×语言_中型×js,0.0039097573042754,2.864692307470461,0.004350103753232,1.6934779953878891,True,0.0606954845429628
C1,项目×语言_中型×py,0.0007684931130574,2.5958596045313107,0.0097134932327735,0.919655692790052,True,0.0606954845429628
C1,项目×语言_中型×ts,-0.0012714861245083,-5.120062437765753,4.368777968277726e-07,0.7707520388006821,True,0.0606954845429628
C1,项目×语言_中小型×java,-0.0001965740132819,-0.7052606050472029,0.4809771441057142,0.1691722087479932,False,0.0606954845429628
C1,项目×语言_中小型×js,-0.0011123886503464,-2.627803831355556,0.0088584267328097,0.4487550472438027,True,0.0606954845429628
C1,项目×语言_中小型×py,0.0012456670163501,7.131037695713035,3.518296765037121e-12,1.3578347252708984,True,0.0606954845429628
C1,项目×语言_中小型×ts,-0.0009395733635454,-7.163233934541001,2.844391389089651e-12,1.666891424718162,True,0.0606954845429628
C1,项目×语言_大型×java,0.0005727091598089,1.5197749317864375,0.1292008918916167,0.5538582756384072,False,0.0606954845429628
C1,项目×语言_大型×js,0.0029762128474279,4.052622956273251,5.873149845858627e-05,1.6512542318985934,True,0.0606954845429628
C1,项目×语言_大型×py,-0.0001133421498097,-0.4946069212524022,0.6210952992945784,0.7949841855798867,False,0.0606954845429628
C1,项目×语言_大型×ts,-0.0002469956330308,-0.6522968447786102,0.5145100523316977,0.2220438486861056,False,0.0606954845429628
C1,项目×语言_小型×java,-0.0004495222045888,-1.1273366354440242,0.2601419639496694,0.4644892878036434,False,0.0606954845429628
C1,项目×语言_小型×js,-0.0003613462696041,-0.4430508418863345,0.6579209679856692,0.293376854024446,False,0.0606954845429628
C1,项目×语言_小型×py,0.0001603250659891,0.914811371658265,0.3607325004478356,0.3629181806598499,False,0.0606954845429628
C1,项目×语言_小型×ts,-0.0017068122175552,-8.024947901392535,7.327471962526033e-15,2.0744464346415725,True,0.0606954845429628
C1,代码×项目×语言_AI×中型×java,0.0007258894125861,1.2800939323474552,0.2011068660743717,0.1548228651884605,False,0.0606954845429628
C1,代码×项目×语言_AI×中型×js,-0.0020083975912457,-1.5320768556063142,0.1261371808999749,0.5167576328361714,False,0.0606954845429628
C1,代码×项目×语言_AI×中型×py,0.0010812823259074,3.056762142243167,0.0023573559519234,0.7547431267121693,True,0.0606954845429628
C1,代码×项目×语言_AI×中型×ts,-0.0013422856637108,-5.145988944701644,3.83283115246158e-07,0.6662663230820831,True,0.0606954845429628
C1,代码×项目×语言_AI×中小型×java,0.000371198656986,0.8376110109967728,0.4026502011556485,0.1371593241760737,False,0.0606954845429628
C1,代码×项目×语言_AI×中小型×js,-0.0010515516190395,-2.668539718788376,0.0078661469502578,0.4190895001095994,True,0.0606954845429628
C1,代码×项目×语言_AI×中小型×py,0.0014838962631155,5.75693955533035,1.4977630025114763e-08,1.1797468982464907,True,0.0606954845429628
C1,代码×项目×语言_AI×中小型×ts,-0.0014319975629148,-9.828309524364698,0.0,1.48839145226165,True,0.0606954845429628
C1,代码×项目×语言_AI×大型×java,0.0015225611577194,1.4831421157707383,0.1386679493916851,0.2983807641751631,False,0.0606954845429628
C1,代码×项目×语言_AI×大型×js,0.0030241082577933,2.0656766078454867,0.0393747180668939,0.5455508917615424,True,0.0606954845429628
C1,代码×项目×语言_AI×大型×py,-0.0003781990067903,-1.1694941598859498,0.242762905696996,0.6066993775350001,False,0.0606954845429628
C1,代码×项目×语言_AI×大型×ts,-0.0002988086005642,-0.7621356326012657,0.4463391356427824,0.2234476526055344,False,0.0606954845429628
C1,代码×项目×语言_AI×小型×java,0.0003104145910553,0.4724386583023143,0.6368202654829322,0.2505850850550572,False,0.0606954845429628
C1,代码×项目×语言_AI×小型×js,-0.0011565160339097,-1.6656432388226672,0.0964121101834507,0.6694735016607077,False,0.0606954845429628
C1,代码×项目×语言_AI×小型×py,0.0004714967925861,1.9954935338308997,0.0465322726567414,0.4783662230835425,True,0.0606954845429628
C1,代码×项目×语言_AI×小型×ts,-0.0005331156984484,-1.4469696591081256,0.1485333052790667,0.7886184320549593,False,0.0606954845429628
C1,代码×项目×语言_Human×中型×java,-0.0022034257972543,-3.848297250376105,0.0001343821221302,0.475254374563954,True,0.0606954845429628
C1,代码×项目×语言_Human×中型×js,0.0092498540969522,2.834732417300896,0.0047724249517089,2.428211743471385,True,0.0606954845429628
C1,代码×项目×语言_Human×中型×py,0.0001236605951909,0.1665325438541277,0.8678053312189302,0.5381515846451449,False,0.0606954845429628
C1,代码×项目×语言_Human×中型×ts,-0.0011293657343756,-1.982944142537703,0.0479215133386212,0.4164224332079885,True,0.0606954845429628
C1,代码×项目×语言_Human×中小型×java,-0.0008673631782878,-1.5879646812359942,0.1129277208442924,0.2730028131552349,False,0.0606954845429628
C1,代码×项目×语言_Human×中小型×js,-0.001129784209594,-1.107579914919822,0.2685768754621112,0.3849776735910241,False,0.0606954845429628
C1,代码×项目×语言_Human×中小型×py,0.0006562286920325,1.8495647591329956,0.0649674162173583,0.6418395196181593,False,0.0606954845429628
C1,代码×项目×语言_Human×中小型×ts,8.408576099521777e-05,0.2019503126462256,0.8400378716126331,0.7903758729824382,False,0.0606954845429628
C1,代码×项目×语言_Human×大型×java,0.0003148506188392,0.6825608365466247,0.4952011213158707,0.4905873760583495,False,0.0606954845429628
